datetime,average
2013-12-28 21:11:22,723.59
2013-12-28 21:13:21,724.72
2013-12-28 21:14:24,724.1
2013-12-28 21:15:25,724.17
2013-12-28 21:17:27,726.55
2013-12-28 21:19:22,724.99
2013-12-28 21:20:23,724.49
2013-12-28 21:22:22,725.8
2013-12-28 21:24:21,724.69
2013-12-28 21:25:22,725.85
2013-12-28 21:27:21,725.24
2013-12-28 21:29:22,725.62
2013-12-28 21:31:36,726.74
2013-12-28 21:33:36,727.37
2013-12-28 21:35:35,725.62
2013-12-28 21:36:37,723.49
2013-12-28 21:38:37,723.81
2013-12-28 21:40:34,724.79
2013-12-28 21:41:37,724.65
2013-12-28 21:43:37,724.54
2013-12-28 21:45:37,724.68
2013-12-28 21:47:37,724.93
2013-12-28 21:48:39,726.46
2013-12-28 21:50:38,725.93
2013-12-28 21:51:41,730.11
2013-12-28 21:53:44,726.44
2013-12-28 21:55:38,726.94
2013-12-28 21:57:37,731.04
2013-12-28 21:58:38,731.2
2013-12-28 21:59:39,731.59
2013-12-28 22:01:37,731.0
2013-12-28 22:03:36,730.82
2013-12-28 22:04:42,730.88
2013-12-28 22:06:40,730.32
2013-12-28 22:08:37,730.28
2013-12-28 22:09:38,730.02
2013-12-28 22:11:40,727.56
2013-12-28 22:13:38,727.36
2013-12-28 22:15:38,726.64
2013-12-28 22:16:39,728.28
2013-12-28 22:18:36,728.41
2013-12-28 22:19:39,728.39
2013-12-28 22:20:40,729.21
2013-12-28 22:22:36,730.22
2013-12-28 22:23:38,728.78
2013-12-28 22:25:37,729.55
2013-12-28 22:26:39,729.55
2013-12-28 22:27:40,730.29
2013-12-28 22:29:38,727.44
2013-12-28 22:30:39,729.51
2013-12-28 22:31:40,729.29
2013-12-28 22:33:42,730.91
2013-12-28 22:35:41,731.69
2013-12-28 22:37:40,732.63
2013-12-28 22:39:44,735.87
2013-12-28 22:41:40,733.43
2013-12-28 22:42:41,733.42
2013-12-28 22:44:40,733.75
2013-12-28 22:46:46,734.54
2013-12-28 22:48:47,734.09
2013-12-28 22:50:40,732.17
2013-12-28 22:52:37,732.71
2013-12-28 22:53:40,732.9
2013-12-28 22:55:38,733.89
2013-12-28 22:56:40,731.84
2013-12-28 22:58:38,730.81
2013-12-28 22:59:39,730.8
2013-12-28 23:00:42,731.72
2013-12-28 23:02:39,731.25
2013-12-28 23:03:40,732.5
2013-12-28 23:05:48,732.77
2013-12-28 23:07:39,733.65
2013-12-28 23:08:42,733.72
2013-12-28 23:10:41,733.19
2013-12-28 23:12:39,733.11
2013-12-28 23:13:40,732.63
2013-12-28 23:15:40,732.34
2013-12-28 23:16:41,734.01
2013-12-28 23:18:40,733.76
2013-12-28 23:20:40,731.38
2013-12-28 23:21:42,730.52
2013-12-28 23:23:41,732.37
2013-12-28 23:25:40,730.95
2013-12-28 23:26:42,729.88
2013-12-28 23:28:40,730.5
2013-12-28 23:30:41,729.18
